Date,Open,High,Low,Close,Adj Close,Volume
2021-05-01,76.279999,80.720001,76.080002,78.739998,75.972382,219875100
2021-06-01,79.580002,85.029999,75.900002,77.839996,75.104012,276738400
2021-07-01,77.980003,91.199997,77.910004,87.139999,84.077110,278074100
2021-08-01,87.730003,91.779999,87.089996,89.129997,86.314400,154883000
2021-09-01,89.260002,92.269997,84.730003,87.129997,84.377579,299389900
2021-10-01,87.760002,98.949997,87.599998,95.940002,92.909271,177718200
2021-11-01,96.000000,96.959999,90.610001,90.739998,88.179222,156023500
2021-12-01,91.690002,106.339996,87.180000,87.209999,84.748833,270947200
2022-01-01,87.330002,89.580002,78.570000,81.160004,78.869591,200574800
2022-02-01,81.400002,83.779999,70.230003,75.970001,74.100296,144701700
2022-03-01,75.980003,84.510002,73.110001,82.730003,80.693939,243936600
2022-04-01,83.040001,84.519997,73.150002,73.400002,71.593552,131271700
2022-05-01,73.930000,75.349998,66.720001,71.919998,70.424400,162438900
2022-06-01,73.019997,74.839996,63.759998,69.870003,68.417030,219800300
2022-07-01,69.849998,78.160004,68.230003,77.839996,76.221283,126241100
2022-08-01,77.180000,79.879997,73.459999,74.150002,72.932762,117160200
2022-09-01,74.120003,79.410004,60.779999,61.070000,60.067478,232945300
2022-10-01,60.990002,78.330002,60.810001,78.070000,76.788414,200166600
2022-11-01,78.599998,83.489998,74.050003,83.029999,82.086792,143312700
2022-12-01,83.050003,85.580002,78.059998,81.739998,80.811447,172460600
2023-01-01,82.470001,90.489998,82.260002,88.459999,87.455116,135703000
2023-02-01,88.370003,91.220001,85.980003,87.400002,86.731155,122638600
2023-03-01,86.900002,93.000000,82.040001,92.919998,92.208908,189782300
2023-04-01,92.379997,96.739998,92.089996,94.720001,93.995140,130420000
2023-05-01,94.800003,106.489998,93.849998,105.940002,105.569519,175851800
2023-06-01,104.879997,127.540001,104.779999,119.089996,118.673523,328350400
2023-07-01,118.010002,121.360001,113.430000,117.949997,117.537514,126659000
