,Unnamed: 0,name,market_cap,price,cik_str,ticker,title_searchable,title_confirmed,tech_or_non_tech,ten_k_document_link,actual_full_ten_k_document_link
90,90,HCA Healthcare,$83.70 B,$298.35,860730,HCA,"HCA Healthcare, Inc.",,non_tech,https://www.sec.gov//Archives/edgar/data/860730/000095017023003234/0000950170-23-003234-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/860730/000095017023003234/hca-20221231.htm
91,91,Cigna,$83.06 B,$280.75,1739940,CI,Cigna Group,,non_tech,https://www.sec.gov//Archives/edgar/data/1739940/000173994023000008/0001739940-23-000008-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/1739940/000173994023000008/ci-20221231.htm
92,92,Airbnb,$82.99 B,$131.69,1559720,ABNB,"Airbnb, Inc.",,tech,,
93,93,Altria Group,$82.07 B,$45.98,764180,MO,"ALTRIA GROUP, INC.",,non_tech,https://www.sec.gov//Archives/edgar/data/764180/000076418023000020/0000764180-23-000020-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/764180/000076418023000020/mo-20221231.htm
94,94,Palo Alto Networks,$78.87 B,$257.88,1327567,PANW,Palo Alto Networks Inc,,tech,https://www.sec.gov//Archives/edgar/data/1327567/000132756722000028/0001327567-22-000028-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/1327567/000132756722000028/panw-20220731.htm
95,95,Regeneron Pharmaceuticals,$78.75 B,$717.83,872589,REGN,"REGENERON PHARMACEUTICALS, INC.",,tech,https://www.sec.gov//Archives/edgar/data/872589/000180422023000008/0001804220-23-000008-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/872589/000180422023000008/regn-20221231.htm
96,96,Zoetis,$78.25 B,$169.35,1555280,ZTS,Zoetis Inc.,,non_tech,https://www.sec.gov//Archives/edgar/data/1555280/000155528023000074/0001555280-23-000074-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/1555280/000155528023000074/zts-20221231.htm
97,97,Southern Company,$78.15 B,$71.68,72971,WFC,WELLS FARGO & COMPANY/MN,,non_tech,,
98,98,Fiserv,$77.10 B,$124.90,798354,FI,FISERV INC,,tech,https://www.sec.gov//Archives/edgar/data/798354/000079835423000004/0000798354-23-000004-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/798354/000079835423000004/fisv-20221231.htm
99,99,Progressive,$76.93 B,$131.43,80661,PGR,PROGRESSIVE CORP/OH/,,non_tech,https://www.sec.gov//Archives/edgar/data/80661/000008066123000006/0000080661-23-000006-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/80661/000008066123000006/pgr-20221231.htm
